projects,capturing technologies,representation technologies,Dissemination Technologies
Multi - Multimedia Museum,"[""Audio recording"",""2D acquisition""]","[""Storytelling tools"",""Database system""]","[""Web platform""]"
Hundred Days: Winemaking Simulator,,"[""Game engine"",""Simulation algorithms""]","[""Game engine"",""Media communication app""]"
ADLaM,"[""2D acquisition""]","[""Typeface modeling software"",""Vector graphic software"",""Text editing software""]","[""Cloud system""]"
A soup to remember,"[""Audio recording"",""Text editing software"",""Video recording""]","[""Alphabet-shaped pasta manufacturing"",""Vector graphic software"",""Image editing software""]","[""Social Media""]"
Pub Museums,"[""Audio recording"",""GPS"",""3D scanning""]","[""3D modeling software"",""Augmented Reality""]","[""Mobile App"",""AR technologies""]"
THE GREAT PALERMO,,"[""Visual-novel game engine"",""Vector graphic software""]","[""Visual-novel game engine"",""Web platform""]"
Cultural Avatars,"[""Annotation system"",""2D acquisition""]","[""Game engine"",""3D modeling software""]","[""Game engine"",""Cloud system""]"
"ARCHETIPI da Poseidonia a Paestum, ricerca di manufatti contemporanei","[""2D acquisition""]","[""3D printing"",""3D modeling software""]","[""Ceramic casting""]"
No Food Tomorrow - Eucarestia,"[""2D acquisition"",""Optical microscopy""]","[""Annotation system"",""Photo-editing software""]","[""NFT technologies""]"
Virtual Dance Museum,"[""Video recording"",""HD cameras"",""3D scanning"",""Motion tracking""]","[""3D motion analysis software"",""Sensor Fusion""]","[""Web platform""]"
GPT-4 for Icelandic Language,"[""OCR"",""Text editing software""]","[""Natural Language Processing (NLP)"",""Machine Learning""]","[""Generative AI"",""LLM"",""Reinforcement Learning""]"
Ichpedia,"[""Annotation system"",""2D acquisition""]","[""Database system""]","[""Wiki-based platform"",""Web platform""]"
MODAS: Sas Boghes da sos Singers a Tenor,"[""Audio recording""]","[""Audio processing""]","[""Audio streaming platforms""]"
Camino Al Mictlan NFT,,"[""3D modeling software""]","[""VR"",""Web3 systems"",""NFT technologies""]"
Whispering table,"[""Audio recording"",""Microphones""]","[""Audio processing"",""Multimedia development engines""]","[""Sensors"",""Microcontroller"",""Motion-activated system"",""Microphones"",""Wireless systems""]"
History Blocks,"[""2D acquisition"",""Annotation system""]","[""Minecraft 3D modeling tools""]","[""Web platform""]"
Odeuropa Smell Explorer,"[""OCR"",""2D acquisition"",""Annotation system""]","[""Machine Learning"",""Computer vision"",""Semantic web standards"",""Database system"",""AI text-analysis""]","[""Machine Learning"",""Web platform"",""Artificial Intelligence""]"
