Entities,Type,Project,Ruolo,Livello,Posizione,Translation Tacticts,Human Resources
Multidisciplinary Design Studio,Group,Multi - Multimedia Museum,Creative Agency,Secondary External,Production,"[""Virtualization"",""Storytelling""]","[""Lead Developer"",""IT Consultancy"",""Front-End Developer"",""Scientific curators"",""Backend developer"",""Art Director"",""Lead Designer"",""UX/UI Designer""]"
Educational Institution,Group,Multi - Multimedia Museum,Education,Primary Internal,Initiator,"[""Storytelling""]","[""Scientific curators""]"
University research center,Group,Multi - Multimedia Museum,Academic,Primary Internal,Initiator,"[""Storytelling""]","[""Scientific curators""]"
Visual Culture Specialists,Group,ADLaM,Creative Agency,Secondary External,Production,"[""Participation""]","[""ICH Researchers"",""Textile Expert"",""Creative Director""]"
Cultural Practitioners,Individual,ADLaM,Community,Primary Internal,Initiator,"[""Participation""]","[""Cultural Practitioner""]"
Cultural Practitioners Community,Group,ADLaM,Community,Primary Internal,Validators,"[""Participation""]",
Typeface Designers,Group,ADLaM,Creative Agency,Secondary External,Production,"[""Glocalization""]","[""Typeface Designers"",""Designer"",""Design Director""]"
Advertising agency,Group,ADLaM,Creative Agency,Secondary External,Production,"[""Glocalization""]","[""Art Director"",""Creative Director"",""Executive Creative Director"",""Copywriter"",""Principal Product Manager"",""Head of Design"",""Designer"",""Design Director""]"
Multinational Technology Firm,Group,ADLaM,Technology Provider,Primary External,Funding,"[""Glocalization""]","[""Principal Program Manager"",""Principal Product Manager""""Accountant"",""Director of Operations"",""Group Account Director"",""Executive Production Officer"",""Executive Producer"",""Strategy Director""]"
Policy makers,Group,A soup to remember,Government institutions,Secondary External,Validators,,
Pasta Producer,Group,A soup to remember,Industrial Provider,Primary Internal,Initiator,"[""Materialization""]","[""Executive Director"",""Craft Partner"",""Global Producer"",""Public Relationship""]"
Cultural and Arts local association,Group,A soup to remember,Community,Primary External,Validators,"[""Participation""]","[""Musicians"",""ICH Practitioners""]"
Advertising agency,Group,A soup to remember,Creative Agency,Primary External,Production,"[""Participation"",""Materialization""]","[""Executive Director"",""Brand Manager"",""Creative Director"",""Designer"",""Head of Creative Excellence"",""Accountant"",""Creative Manager"",""Copywriter"",""Head of Video Production"",""Head of Pre-Press"",""Creative Partner"",""Social Media Manager"",""Video Animator"",""Head of Social Media"",""Art Director"",""Global Producer"",""Public Relationship"",""Illustrator"",""Photographer"",""Press and Production"",""Director of Photography""]"
Public Foundation,Group,GPT-4 for Icelandic Language,Institutions,Secondary External,Validators,"[""Participation""]",
Language Technology company,Group,GPT-4 for Icelandic Language,Technology Provider,Secondary External,Production,"[""Glocalization""]","[""Language Support Tools Developer"",""Digital Product Developer""]"
Language Technology Center,Group,GPT-4 for Icelandic Language,Institutions,Secondary External,Production,"[""Glocalization""]","[""Language Support Tools Developer"",""Linguistic Specialist""]"
AI Research Organization,Group,GPT-4 for Icelandic Language,Technology Provider,Primary External,Production,"[""Glocalization""]",
Language Community,Group,GPT-4 for Icelandic Language,Community,Secondary External,Validators,"[""Participation""]",
Governmental Agency,Group,GPT-4 for Icelandic Language,Government institutions,Primary Internal,Initiator,"[""Participation""]",
Community,Group,MODAS: Sas Boghes da sos Singers a Tenor,Community,Primary External,Production,"[""Participation""]",
Cultural Association,Group,MODAS: Sas Boghes da sos Singers a Tenor,Institutions,Primary Internal,Production,"[""Participation""]",
Regional Cultural Organization,Group,MODAS: Sas Boghes da sos Singers a Tenor,Academic,Primary Internal,Initiator,"[""Glocalization"",""Storytelling"",""Participation""]","[""Executive Producer"",""Cultural Network Coordinator"",""Technical-Scientific Coordinator"",""Sound Technician"",""Copywriter"",""Mixing and Mastering Specialist"",""Sound Designer""]"
Cultural Practitioners Community,Group,MODAS: Sas Boghes da sos Singers a Tenor,Institutions,Primary External,Production,"[""Participation""]",
AI Research Scientist,Individual,ReCollection,Technology Provider,Primary Internal,Production,"[""Materialization""]",
AI Expert,Individual,ReCollection,Technology Provider,Primary Internal,Production,"[""Materialization""]",
Academic & Creative Innovation Hub,Group,ReCollection,Institutions,Primary External,Funding,,
New Media Artist,Individual,ReCollection,Creative Agency,Primary Internal,Initiator,"[""Materialization"",""Participation""]",
Foundation and Research Center,Group,ReCollection,Institutions,Primary External,Funding,,
Education & Creativity Organization,Group,Synthetic Memories,Institutions,Primary External,Validators,"[""Participation"",""Memory elicitation""]","[""Cultural Social Integrator"",""Community Engagement Manager""]"
