viz_title,title,links_slug,description,credits,date,external_link_1,external_link_2,external_link_3,ichDomains,fruitionOutputs
A soup to remember,A soup to remember,https://ichatlas.com/projects-archive/A_soup_to_remember,"""""A Soup to Remember is a campaign designed to preserve and celebrate the traditional folk songs of the Croatian Međimurje region, included in the UNESCO ICH Representative list in 2018. The campaign features a short film, a series of five illustrated books each paired with a small pack of alphabet-shaped pasta to spell out the lyrics of one Međimurje folk song. Involving educational institutions and nursery schools, invited through the promoters outreach and social channels, the children are learning the local language and preserving Međimurje folk songs. The campaign won  reached 80% of the national population and the project success prompted Međimurje County, the local government, to declare 28th of November a Day of Popevka (traditional folk songs), to be celebrated annually.""""","A project by Marodi,Bruketa&Žinić&Grey,Grey Global,Alliance of Croatian Cultural and Artistic Associations of Međimurje County,Government of Međimurje County,Voxford (collaboration)",2024,https://www.youtube.com/watch?v=svXl_7k1_aQ,,,"[""Oral traditions and expressions"",""Performing arts""]","[""Digital campaign"",""Participatory initiative""]"
ADLaM,ADLaM,https://ichatlas.com/projects-archive/ADLaM,"""""The ADLaM Project aims to preserve the Fulani language (Pulaar/Fulfulde) through enhancing usability across digital devices of its unique script, developed in the late 1980s by Ibrahima and Abdoulaye Barry in Guinea, to address the historical lack of a standardized script for Fulani. In collaboration with Microsoft, the ADLaM alphabet was modernized, optimized for digital devices, made open-source, and integrated into Microsoft 365, Windows, and Google Fonts, expanding its reach and educational impact. Since 2023, it has been used over 2.18 million times and featured on 29,700+ websites. Educational initiatives led to 30,000 new learners and schools in five countries.""""","A project by Ibrahima and Abdoulaye Barry,Fulani researchers,Neil Patel, Mark Jamra, and Andrew Footit,Microsoft,McCann New York,Fulani speaking local community",2023,https://unlocked.microsoft.com/adlam-can-an-alphabet-save-a-culture/,https://www.youtube.com/watch?v=c00nrKk7FqA,https://www.dandad.org/work/d-ad-awards-archive/adlam-an-alphabet-to-preserve-a-culture,"[""Oral traditions and expressions""]","[""Participatory initiative"",""Digital assets"",""Digital campaign""]"
ARCHETIPI,"ARCHETIPI da Poseidonia a Paestum, ricerca di manufatti contemporanei","https://ichatlas.com/projects-archive/ARCHETIPI_da_Poseidonia_a_Paestum,_ricerca_di_manufatti_contemporanei","""""The ""ARCHETIPI, from Poseidonia to Paestum: A Search for Contemporary Artifacts"" project aims to explore the intersection of heritage preservation and contemporary design through the creation of porcelain objects inspired by 5th-century artifacts from the Paestum Archaeological Park, Italy. The project’s primary focus is on maintaining the formal characteristics of the ancient artifacts while introducing modern design sensibilities. This initiative employs 3D printing technology to create molds for ceramic production, enabling the development of detailed prototypes. To ensure cultural authenticity, the project involved collaboration with local stakeholders, including an archaeological museum, a ceramics manufacturing company, and local designers and collectives through co-design sessions.""""","A project by Museo del Parco Archeologico di Paestum,Bhumi Ceramica,Giuseppe Valentino,Raffaele Calvino,400 GON,",2023,https://bhumi.it/archetipi/,,,"[""Traditional craftsmanship""]","[""ICH-inspired artefact""]"
Bamboo Weaving Mold,Bamboo Weaving Mold,https://ichatlas.com/projects-archive/Bamboo_Weaving_Mold,"""""The Bamboo Weaving Paper Mold is an tool designed to simplify the bamboo weaving process, making it accessible to beginners and encouraging widespread participation in the craft. This disposable punching paper mold serves as a guide for weaving bamboo strips through pre-marked holes, allowing users to easily follow the pattern. Once the weaving is complete, the mold can be torn off, leaving behind a finished product. The project includes the development of specialized software that automatically generates hole patterns for paper mold 2D and 3D pattern weaving for mass production. This technology significantly reduces the complexity of bamboo weaving, opening up opportunities for individuals, especially in poverty-stricken areas, to engage in the craft and earn an income through outsourced production. Indeed, the project intends to lower the skill barriers and make bamboo weaving accessible, while simultaneously fostering economic empowerment through sustainable, low-cost production methods.""""","A project by Zhejiang University of Technologies,(Liu Xiaojian, Li Wenfei, Liu Xiling, Zhu Yuning, Liu Yukun)",2024,,,,"[""Traditional craftsmanship""]","[""Digital tools""]"
Camino Al Mictlan NFT,Camino Al Mictlan NFT,https://ichatlas.com/projects-archive/Camino_Al_Mictlan_NFT,"""""Camino Al Mictlán NFT is a project that merges music, art, blockchain, and the Day of the Dead to create immersive cultural experiences. Launched in 2021 by NFTianguis and led by Mexican-American artist Vj Deliria, the project blends ancient Mexican traditions with Web3 technologies, including NFTs, metaverse platforms, and blockchain. Its primary aim is to honor the Day of the Dead through digital art and collaborative experiences. The project features a Web3/NFT Artist Residency (2022) inviting local digital designers to contribute their work, NFT collections celebrating the Day of the Dead, and the Mictlán journey. The #MICTLAVERSO event (2021) hosted global Day of the Dead celebrations with metaverse DJ sets. Phygital exhibitions in New York, Querétaro, and online brought Mictlán’s mythology to life, while anthropological workshops and tours explore the soul’s spiritual journey through Mictlán’s nine levels.""""","A project by NFTianguis,Vj Deliria (part of NFTianguis),Kelly Velásquez - kellposky, aiiramerida,Toñin Lizana - Una Raneta,karen_medinaart,palomaetienne,perezpodrido",2021,https://nftianguis.com/camino-al-mictlan/,,,"[""Social practices, rituals and festive events""]","[""Digital assets"",""Participatory initiative"",""ICH-inspired artefact"",""Dedicated virtual events""]"
Comuniterràe,Comuniterràe,https://ichatlas.com/projects-archive/Comuniterràe,"""""Comuniterràe is a participatory cultural project aimed at creating Community Maps for the Terre di Mezzo region, with the long-term aim of establishing an ecomuseum for cultural heritage preservation and sustainable development. The project involves two valleys, ten communities, and numerous settlements, situated between the valley floor and higher lands. It highlights the area's rich cultural diversity, blending tangible and intangible heritage elements, with deep historical roots. Approximately 250 residents actively participated in the creation of the Community Maps, helping define the collective identity of Terre di Mezzo. These maps reflect the region’s culture—its history, traditions, local crafts, stories, festivals, dialects, and religious practices—capturing a landscape where nature is reclaiming land once used by humans but now largely abandoned. The project produced a map for each community and one for the entire region, serving as cultural ""identity cards"" shared by the local people. These illustrated maps offer a creative and visual narrative of the community's heritage, providing both residents and visitors with a deeper understanding of the area’s cultural richness.""""","A project by Association for the Development of Culture, University Studies, and Research in Verbano Cusio Ossola,Val Grande National Park,Piedmont Region (contribution),Community Foundation of VCO (contribution),Inhabitants/Citizens of Terre di Mezzo",2017,http://www.comuniterrae.it/,,,"[""Social practices, rituals and festive events"",""Oral traditions and expressions""]","[""Participatory initiative"",""Digital archive""]"
Craftal,Craftal,https://ichatlas.com/projects-archive/Craftal,"""""Craftal is a subscription-based platform designed to provide Japanese craft tableware to restaurants and households, facilitating access to traditional crafts from across Japan. The project aims to solve the challenges faced by both craftsmen and restaurant owners, supporting the sustainable development of Japanese craft industries. Craftal connects chefs, restaurants, and craftsmen, focusing on creating highly functional and aesthetic tableware. By collaborating with chefs, Craftal ensures that the tableware products meet the practical needs of modern restaurants while showcasing traditional craftsmanship. The platform facilitates direct feedback from chefs to artisans, helping them develop more usable designs. The business model allows restaurants to access a diverse range of tableware at a more affordable price by rotating it seasonally. Since its inception, Craftal has grown significantly, offering over 300 products, partnering with over 30 restaurants, and working with more than 50 artisans. In 2022, the project expanded its reach with over 500 participants in trial events""""",A project by Culture Generation Japan,2019,https://craftal.jp/,,,"[""Traditional craftsmanship""]","[""Network platform""]"
Cultural Avatars,Cultural Avatars,https://ichatlas.com/projects-archive/Cultural_Avatars,"""""The Cultural Avatars project by Orange aims to empower African youth and promote cultural representation in the gaming world. Africa, home to the fastest-growing gaming market, has been largely underrepresented in video games. This initiative seeks to change that by providing tools and platforms for young African game developers. The project features a collection of digital assets, including gaming skins, designed by local fashion designers to reflect the diverse cultures of Africa and the Middle East. These skins were introduced at a major gaming event and made available as free, open-source assets for developers. Additionally, a Game Jam was organized to encourage independent African developers to create games inspired by African cultures and stories.""""","A project by Orange Middle East & Africa,Publicis Conseil,Yasmine El Tazi (Egypte),Ibrahim Fernandez (Ivory Coast),Marie-Laure Jaomatana (Madagascar),Busterwood",2023,https://www.youtube.com/watch?v=Z70PNlZIShs,,,"[""Traditional craftsmanship""]","[""ICH-inspired artefact"",""Digital campaign"",""Participatory initiative"",""Dedicated physical events"",""Digital assets""]"
Cyberknitics,Cyberknitics,https://ichatlas.com/projects-archive/Cyberknitics,"""""Cyberknitics is a wearable harness designed to translate knitting motions into sound, redefining the crafting experience in a modern and future context. The garment is equipped with sensors that capture the hand movements involved in knitting, generating sound that reflects the natural rhythm of the knitter's actions. Users can modify the sound using buttons, creating an interactive and dynamic experience. The harness integrates both pre-made and custom-designed circuit boards. This auditory feedback enhances the connection between the knitter and their craft, emphasizing its therapeutic and meditative qualities. The project has been showcased at numerous maker fairs, fashion exhibitions, and international talks.""""",A project by Ezra Lamb,2016,https://ezramustra.com/cyberknitics.html,,,"[""Traditional craftsmanship""]","[Live performance""]"
Design philology,Design philology,https://ichatlas.com/projects-archive/Design_philology,"""""Design Philology is a digital archive dedicated to the history of design teaching and research at Politecnico di Milano. The project functions as a multifaceted platform combining archival resources, publishing, and temporary exhibitions, creating an open system that reflects the evolution and diversity of Italian design. It highlights the polytechnic nature of the institution, which embraces a wide range of perspectives and approaches, even those in dialectical contrast. The archive is built on an advanced digital infrastructure that organizes and provides access to a variety of materials, including documents, images, objects, and video testimonies. Through curated timelines and narratives, Design Philology offers an immersive, hypertextual experience that invites users to explore the development of design in a historical context, fostering deeper understanding and engagement with the field.""""","A project by Design Department, Politecnico di Milano (Italy)",2023,https://designphilology.polimi.it/en,,,"[""Social practices, rituals and festive events"",""Oral traditions and expressions""]","[""Participatory initiative"",""Digital archive""]"
