CODE,Title,Year,Primary Objective,Secondary Objectives,Beneficiaries,Creative Approach,Financial Resources,Business Model,Human Resources,Entity Types,Competences,ICH Domain,ICH Elements,Data Source,Data Type,Capturing Technologies,Representation Technologies,Digitization Output,Dissemination Technologies,Fruition Output
1,Multi - Multimedia Museum,2023,Transmission,Global outreach,Enthusiasts,,,,Lead Developer,,Digital Content Design,,Dialects,Spoken-language recordings,Audio,,,,,Virtual museum
1,Multi - Multimedia Museum,2023,Celebration,Edutainment,ICH Curious,Digital twinning,,,IT Consultancy,Multidisciplinary Design Studio,Administration,,Spoken Languages,Illustrations,Pictures,Audio recording,Storytelling tools,Structured metadata,,
1,Multi - Multimedia Museum,2023,,,,,,,Front-End Developer,,Cultural Preservation Strategy,,Linguistics,Archive entry,,,,,,
1,Multi - Multimedia Museum,2023,Preservation,Inclusivity,General public,Storytelling,Publicly funded,Free Access Model,Scientific curators,Educational Institution,Public Relations & Partnerships,Oral traditions and expressions,Languages,Written text,Text,2D acquisition,Database system,"Digitized collection of texts, images, and audio",Web platform,
1,Multi - Multimedia Museum,2023,Enhancement,,Educational institutions,,,,Backend developer,University research center,Strategic Leadership,,Oral history,Books,,,,,,
1,Multi - Multimedia Museum,2023,,,,,,,,,Creative Direction,,,,,,,,,
1,Multi - Multimedia Museum,2023,,,,,,,,,Graphic Design,,,,,,,,,
1,Multi - Multimedia Museum,2023,,,,,,,Art Director,,Documentation Research,,,,,,,,,
1,Multi - Multimedia Museum,2023,,,,,,,Lead Designer,,Photography,,,,,,,,,
1,Multi - Multimedia Museum,2023,,,,,,,UX/UI Designer,,Sales Strategy,,,,,,,,,
1,Multi - Multimedia Museum,2023,,,,,,,,,UX/UI Design,,,,,,,,,
1,Multi - Multimedia Museum,2023,,,,,,,,,,,,,,,,,,
1,Multi - Multimedia Museum,2023,,,,,,,,,,,,,,,,,,
1,Multi - Multimedia Museum,2023,,,,,,,,,,,,,,,,,,
1,Multi - Multimedia Museum,2023,,,,,,,,,,,,,,,,,,
2,Hundred Days: Winemaking Simulator,2021,,,Cultural practitioners,,,,,Winemakers,Art Direction,,,,,,,,,
2,Hundred Days: Winemaking Simulator,2021,,,,,,,,,Audio/Sound Design,,,,,,,,,
2,Hundred Days: Winemaking Simulator,2021,Preservation,Edutainment,Gamers,Gamification,Self-Funded,Direct to Consumers (DtC),Producer,,Business Development,Knowledge and practices concerning nature and the universe,Winemaking,Craftsmen Know-how,Text,,Game engine,Winemaking management simulator,Gaming system,Videogame
2,Hundred Days: Winemaking Simulator,2021,,,Local communities,,,,,,Concept Art,,,,,,,,,
2,Hundred Days: Winemaking Simulator,2021,,Global outreach,General public,Digital twinning,,,,Digital Artists,Game Development,,,,,,,Structured knowledge base,,
2,Hundred Days: Winemaking Simulator,2021,,,,,,,,,,,,,,,,,,
2,Hundred Days: Winemaking Simulator,2021,Accessibility,Economic sustainability,Enthusiasts,Storytelling,,,3D Graphic Designer,Music and Sound Design Studio,Lighting Design,,Food production,Enological chemistry documentation,Formulas,,,Statistical formulas,,
2,Hundred Days: Winemaking Simulator,2021,Promotion,Cultural representation,ICH Curious,Simulation,,Pay-to-Play (P2P),Narrative Designer,Game development studio,Strategic Leadership,Traditional craftsmanship,Alcoholic beverages,Books on winemaking,Statistics,,Simulation algorithms,Dataset of winemaking processes,Media communication app,
