Translation Tactics complete,Description
Digital twinning,"This approach involves creating a faithful digital replica of a cultural practice or element, without altering or reinterpreting its original form."
Storytelling,"This approach involves the use of narrative techniques and exploratory pathways to communicate intangible cultural heritage history, evolution and practices."
Gamification,This approach involves applying game mechanics and dynamics to experiencing aspects connected to intangible cultural heritage.
Simulation,This approach involves digitally or physically replicating gestures and processes associated with the performance of intangible cultural heritage practices.
Participation,"This approach involves actively engaging communities or individuals as cultural practitioners or tradition bearers in processes related to the preservation, interpretation, or promotion of ICH."
Glocalization,This approach involves adapting and sharing local manifestations of intangible cultural heritage on global digital platforms for broader exposure.
Materialization,"This approach involves the process of giving physical or tangible form to intangible cultural heritage through objects, installations, or representations."
Institutionalization,This approach involves developing initiatives that adopt institutionalized formats to support the formal recognition of ICH not yet acknowledged within existing frameworks.
Remix,"This approach involves recombining or reinterpreting manifestations of intangible cultural heritage, often blending them with contemporary media or contexts."
Archetyping,"This approach involves associating ICH with cultural archetypes, which serve as a narrative or symbolic lens through which the heritage is expressed."
Crowdsourcing,"This approach involves inviting “the crowd"" to actively contribute to the project with personal input, knowledge, or experiences"
Translation,This approach involves a process where expressions of ICH are taken and transformed from their original form (such as a performance) into a completely different medium or format (such as an object).
Artification,"This approach involves reinterpreting intangible cultural heritage as an artistic product, using the languages and media of the arts."
Magnification,"This approach involves emphasizing overlooked or subtle elements of ICH by enlarging or intensifying them through visual, auditory, or performative means."
Animation,"This approach involves animating or personifying elements of intangible cultural heritage, essentially ""giving voice"" to them."
Facilitation,"This approach involves developing tools, resources, or frameworks that facilitate access to, transmission of, making of, or interaction with intangible cultural heritage."
Bespoke exhibiting,"This approach involves curating tailor-made presentations of ICH, adapted to specific contexts, audiences, or communities."
Memory elicitation,"This approach involves using tools to trigger personal memories and narratives, thereby uncovering and activating aspects of intangible cultural heritage."
Matchmaking,This approach involves connecting various stakeholders already or potentially involved in ICH safeguarding by establishing frameworks that facilitate collaboration and exchange.
Synesthesia,"This approach involves developing initiatives where aspects of ICH are experienced through the simultaneous engagement of multiple senses (sight, hearing, touch, etc.)."
